CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81870352,-25.5241770000303,-49.2937684998992,1,10:48,31,82015720,-25.4187128462549,-49.3341400767781,True,11:10
82015720,-25.4187128462549,-49.3341400767781,1,11:10,32,82821020,-25.4233146347775,-49.2160678044742,True,11:35
82821020,-25.4233146347775,-49.2160678044742,1,11:35,31,81330550,-25.4845347422664,-49.323856720273,True,11:37
81330550,-25.4845347422664,-49.323856720273,1,11:37,48,81070310,-25.4777156282764,-49.3079769301493,True,11:58
81070310,-25.4777156282764,-49.3079769301493,1,11:58,32,82821020,-25.4233146347775,-49.2160678044742,True,11:58
82821020,-25.4233146347775,-49.2160678044742,1,11:58,0,81880240,-25.5404745077498,-49.2975794776044,False,12:15
81880240,-25.5404745077498,-49.2975794776044,1,12:15,34,81570010,-25.4740384750357,-49.2379956248079,True,12:24
81570010,-25.4740384750357,-49.2379956248079,1,12:24,38,82821020,-25.4233146347775,-49.2160678044742,True,12:34
82821020,-25.4233146347775,-49.2160678044742,1,12:34,39,80510325,-25.4198156998607,-49.2790781765687,True,12:52
80510325,-25.4198156998607,-49.2790781765687,1,12:52,34,81110522,-25.5094403220237,-49.2915096538449,True,13:02
81110522,-25.5094403220237,-49.2915096538449,1,13:02,39,81480170,-25.5633003333374,-49.3185828888561,True,13:02
81480170,-25.5633003333374,-49.3185828888561,1,13:02,60,81480050,-25.5639557671639,-49.3123860165859,False,13:20
81480050,-25.5639557671639,-49.3123860165859,1,13:20,34,81240490,-25.4789005295822,-49.3358291909315,True,13:21
81240490,-25.4789005295822,-49.3358291909315,1,13:21,49,81330400,-25.488124875843,-49.3264242140685,True,13:37
81330400,-25.488124875843,-49.3264242140685,1,13:37,35,82025060,-25.4094383254911,-49.3098019002186,True,13:59
82025060,-25.4094383254911,-49.3098019002186,1,13:59,32,81650050,-25.4935107881037,-49.2359919665457,True,14:15
81650050,-25.4935107881037,-49.2359919665457,1,14:15,35,81170370,-25.514465668778,-49.3258065209142,True,14:22
81170370,-25.514465668778,-49.3258065209142,1,14:22,43,81480152,-25.5584308697738,-49.3207049341475,True,14:47
